Date,Currency,Mean,Buy,Sell
11/04/2023,US DOLLAR,133.5882,133.4882,133.6882
06/04/2023,US DOLLAR,133.3,133.2,133.4
05/04/2023,US DOLLAR,132.9412,132.8412,133.0412
04/04/2023,US DOLLAR,132.6735,132.5735,132.7735
03/04/2023,US DOLLAR,132.5206,132.4206,132.6206
31/03/2023,US DOLLAR,132.3324,132.2324,132.4324
30/03/2023,US DOLLAR,132.1265,132.0265,132.2265
29/03/2023,US DOLLAR,131.7765,131.6765,131.8765
28/03/2023,US DOLLAR,131.5294,131.4294,131.6294
27/03/2023,US DOLLAR,131.3971,131.2971,131.4971
24/03/2023,US DOLLAR,131.2735,131.1735,131.3735
23/03/2023,US DOLLAR,130.9941,130.8941,131.0941
22/03/2023,US DOLLAR,130.6176,130.5176,130.7176
21/03/2023,US DOLLAR,130.3206,130.2206,130.4206
20/03/2023,US DOLLAR,130.0088,129.9088,130.1088
17/03/2023,US DOLLAR,129.8824,129.7824,129.9824
16/03/2023,US DOLLAR,129.7618,129.6618,129.8618
15/03/2023,US DOLLAR,129.5882,129.4882,129.6882
14/03/2023,US DOLLAR,129.4529,129.3529,129.5529
13/03/2023,US DOLLAR,129.2412,129.1412,129.3412
10/03/2023,US DOLLAR,128.8882,128.7882,128.9882
09/03/2023,US DOLLAR,128.5912,128.4912,128.6912
08/03/2023,US DOLLAR,128.3618,128.2618,128.4618
07/03/2023,US DOLLAR,128.1088,128.0088,128.2088
06/03/2023,US DOLLAR,127.7559,127.6559,127.8559
